2018-01-09 14:51:59.246 正在初始化系统
2018-01-09 14:51:59.337 初始化OK.
2018-01-09 14:58:08.787 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:09.014 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:09.241 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:09.481 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:09.707 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:09.922 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:10.133 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:10.351 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:10.568 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:10.786 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:11.003 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:11.222 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:11.451 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:11.676 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:11.890 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:12.111 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:12.340 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:12.564 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:12.787 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:13.001 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:13.210 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:13.443 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:13.670 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 15:38:34.302 正在初始化系统
2018-01-09 15:38:34.319 初始化OK.
2018-01-09 16:36:58.184 正在初始化系统
2018-01-09 16:36:58.188 初始化OK.
2018-01-09 16:44:57.792 正在初始化系统
2018-01-09 16:44:57.798 初始化OK.
